disease,symptom
肾上腺皮质功能减退,心脏复苏
肾上腺皮质功能减退,心脏排血受阻
肾上腺皮质功能减退,心脏重量增加
肾上腺皮质功能减退,消瘦
阿-斯综合征,晕厥
阿-斯综合征,心律失常
阿-斯综合征,无法数清每分钟脉搏次数
阿-斯综合征,不完全性房内阻滞
阿-斯综合征,血管迷走性晕厥
埃布斯坦综合征,三尖瓣脱垂
埃布斯坦综合征,心音异常
埃布斯坦综合征,心脏杂音
埃布斯坦综合征,紫绀
埃布斯坦综合征,心力衰竭
奥迪括约肌功能异常,腹痛
奥迪括约肌功能异常,恶心与呕吐
奥迪括约肌功能异常,腹泻
奥迪括约肌功能异常,括约肌功能障碍
阿米巴结肠炎,肚脐疼
阿米巴结肠炎,里急后重
阿米巴结肠炎,酒后便血
阿米巴结肠炎,粪便黑色并带有血液
阿米巴结肠炎,粪便脓血
家族性出血性肾炎,血尿
家族性出血性肾炎,高血压
家族性出血性肾炎,蛋白尿
家族性出血性肾炎,尿素廓清障碍
家族性出血性肾炎,尿隐血
人免疫缺陷病毒感染,HIV感染
人免疫缺陷病毒感染,免疫损害
人免疫缺陷病毒感染,慢性肾衰竭
人免疫缺陷病毒感染,急性肾衰竭
人免疫缺陷病毒感染,肾病综合征
癌性疼痛,部位不定的疼痛
癌性疼痛,轻度痛
癌性疼痛,暴发性痛
癌性疼痛,持续性疼痛
癌性疼痛,休克
艾滋病神经系统损害,HIV感染
艾滋病神经系统损害,身痛
艾滋病神经系统损害,呼吸衰竭
艾滋病神经系统损害,肌性肌无力
艾滋病神经系统损害,昏迷
氨基酸代谢病,酪氨酸血症
氨基酸代谢病,腹部肿块
氨基酸代谢病,肝肿大
氨基酸代谢病,昏迷
氨基酸代谢病,手掌和足底角化伴多汗
艾滋病人的急性阑尾,阑尾感染
艾滋病人的急性阑尾,阑尾脓肿
艾滋病人的急性阑尾,HIV感染
艾滋病人的急性阑尾,阑尾穿孔
艾滋病人的急性阑尾,阑尾周围脓肿
暗色丝孢霉病,色素异常
暗色丝孢霉病,溃疡
暗色丝孢霉病,结节
暗色丝孢霉病,胸部大片斑块
鞍上生殖细胞瘤,消瘦
鞍上生殖细胞瘤,视力障碍
癌肿性关节炎,非对称性关节痛
癌肿性关节炎,关节疼痛
癌肿性关节炎,手掌硬性水肿
癌肿性关节炎,臀部酸痛
癌肿性关节炎,关节肿痛
鞍结节脑膜瘤,恶心与呕吐
鞍结节脑膜瘤,高颅压综合征
鞍结节脑膜瘤,头痛
鞍结节脑膜瘤,视力障碍
鞍结节脑膜瘤,脑室受压移位
阿克森费尔德-里格,瞳孔异常
阿克森费尔德-里格,眼痛
阿克森费尔德-里格,斜视
阿斯伯格综合症,思考困难感
阿斯伯格综合症,行为无计划性
阿斯伯格综合症,依赖公式化
阿斯伯格综合症,Asperger综合征
埃里希体病,头痛
埃里希体病,疲劳
埃里希体病,丘疹
埃里希体病,斑疹
埃里希体病,昏迷
股骨头骨骺骨软骨病,身痛
股骨头骨骺骨软骨病,股骨近侧端变宽
间断脉冲噪音损伤,眩晕
间断脉冲噪音损伤,头痛
间断脉冲噪音损伤,耳痛
间断脉冲噪音损伤,耳鸣
间断脉冲噪音损伤,听阈上升
Graves病,紧张
Graves病,焦虑
Graves病,紧张性失眠
Graves病,失眠
Graves病,心悸伴心率异常
突发性聋,耳溢液
突发性聋,耳痛
突发性聋,耳鸣
突发性聋,听力减退
突发性聋,幻听
十二指肠白点综合征,腹痛
十二指肠白点综合征,恶心与呕吐
十二指肠白点综合征,食欲异常
十二指肠白点综合征,肠胀气
十二指肠白点综合征,排便不尽感
三尖瓣狭窄,收缩期杂音 
三尖瓣狭窄,心脏震颤
三尖瓣狭窄,叹气后舒服
三尖瓣狭窄,狭窄杂音
三尖瓣狭窄,心音异常
布鲁菌病,关节疼痛
布鲁菌病,神经痛
布鲁菌病,头痛
布鲁菌病,出汗异常
布鲁菌病,发热
布卡综合症,脾肿大
布卡综合症,腹水
布卡综合症,食管下段静脉曲张
布卡综合症,肝肿大
剥脱性骨软骨炎,身痛
剥脱性骨软骨炎,发热
剥脱性骨软骨炎,软骨发育不良与骨骼畸形
玻璃体猪囊虫病,玻璃体有血迹
玻璃体猪囊虫病,屈光介质混浊
玻璃体猪囊虫病,眼痛
玻璃体猪囊虫病,角膜混浊
玻璃体猪囊虫病,视力障碍
玻璃体出血,玻璃体有血迹
玻璃体出血,屈光介质混浊
玻璃体出血,眼球浮动现象
玻璃体出血,光反射消失
玻璃体出血,眼痛
病毒性咽炎,咽喉炎
病毒性咽炎,咽喉干燥充血
病毒性咽炎,咽喉部充血
病毒性咽炎,咽部粘膜弥漫充血
病毒性咽炎,咽反射
丙型病毒性肝炎,扑翼样震颤
丙型病毒性肝炎,掌跖发红
丙型病毒性肝炎,乙肝表面抗原（HBsAg）阳性
丙型病毒性肝炎,黄疸
丙型病毒性肝炎,食欲下降
髌骨软化症,身痛
髌骨软化症,发热
髌骨软化症,髌后捻发音
髌骨软化症,小儿维生素D缺乏
髌骨软化症,肾性骨质软化
表层巩膜炎,周期性发作的巩膜充血
表层巩膜炎,眼痛
表层巩膜炎,泪溢
表层巩膜炎,发热
表层巩膜炎,红眼
变应性血管炎,面部半球形蓝黑色结节
变应性血管炎,皮肤坏死
变应性血管炎,溃疡
变应性血管炎,结节
变应性血管炎,斑疹
变应性口炎,全身过敏反应
变应性口炎,溃疡
变应性口炎,咽炎、舌炎、龈炎
变应性口炎,口腔痛
变应性口炎,咬嘴唇或舌
变形杆菌食物中毒,脱水
变形杆菌食物中毒,腹痛
变形杆菌食物中毒,恶心与呕吐
变形杆菌食物中毒,腹泻
变形杆菌食物中毒,发热
扁平足,扁平足
扁平足,鸡眼
扁平足,足痛
扁平足,体型异常
鞭虫病,腹痛
鞭虫病,便血
鞭虫病,腹泻
鞭虫病,瘙痒
鼻中隔脓肿,鼻翼厚
鼻中隔脓肿,鹰钩鼻
鼻中隔脓肿,婴儿睡觉打鼾
鼻中隔脓肿,鼻内痛
鼻中隔脓肿,鼻脓涕有臭味
鼻中隔溃疡,鼻塞排出脓性或血性分泌物
鼻中隔溃疡,鼻中隔穿孔
鼻中隔溃疡,良性溃疡改变
鼻中隔溃疡,鼻衄
鼻中隔溃疡,溃疡
鼻咽肉瘤,鼻咽癌的远处转移
鼻咽肉瘤,呼吸异常
鼻咽肉瘤,咽部异物感
鼻咽肉瘤,表情迟钝
鼻咽肉瘤,张口呼吸
鼻血管瘤,鼻出血
鼻血管瘤,视力障碍
鼻血管瘤,头痛
鼻血管瘤,眼球突出
鼻血管瘤,鼻衄
鼻石,呼吸异常
鼻石,眩晕
鼻石,头痛
鼻石,张口呼吸
鼻石,鼻翼边缘缺损
鼻恶性肉芽肿,局限性肾坏死
鼻恶性肉芽肿,带血性分泌物
鼻恶性肉芽肿,带血性分泌物
鼻恶性肉芽肿,鼻外部膨胀隆起
鼻恶性肉芽肿,腭部穿孔
鼻窦炎,凝视麻痹
鼻窦炎,小支气管平滑肌挛缩
鼻窦炎,鼻衄
鼻窦炎,鼻塞及反射性头痛
鼻窦炎,带血粘脓鼻涕
鼻窦气压性创伤,身痛
鼻窦气压性创伤,侧卧时位于下侧鼻腔出现鼻塞
鼻窦气压性创伤,呼吸异常
鼻窦气压性创伤,鼻出血
鼻窦气压性创伤,发热
鼻瓣区狭窄,吸气时鼻腔阻塞
鼻瓣区狭窄,呼吸异常
鼻瓣区狭窄,张口呼吸
鼻瓣区狭窄,婴儿睡觉打鼾
贲门失弛缓症,贲门弛缓
贲门失弛缓症,婴儿痉挛症
贲门失弛缓症,易变性痉挛
贲门失弛缓症,胃食管反流症状
贲门失弛缓症,恶心与呕吐
贲门癌,胃食管反流症状
贲门癌,消瘦
贲门癌,休克
贲门癌,脱水
贲门癌,呕血与黑便
爆震性耳聋,耳痛
爆震性耳聋,耳鸣
爆震性耳聋,晕厥
爆震性耳聋,眩晕
爆震性耳聋,头痛
暴露性角膜炎,溃疡
暴露性角膜炎,眼痛
暴露性角膜炎,红眼
暴露性角膜炎,视力障碍
暴露性角膜炎,角膜灼伤刮伤
暴发性肝炎样综合征,妊娠期急性脂肪肝
暴发性肝炎样综合征,进行性肝缩小
暴发性肝炎样综合征,呕血与黑便
暴发性肝炎样综合征,恶心与呕吐
暴发性肝炎样综合征,感觉障碍
暴发性肝功能衰竭,昏迷
暴发性肝功能衰竭,乙肝e抗体（抗HBe）阳性
暴发性肝功能衰竭,低蛋白血症
暴发性肝功能衰竭,抗感染能力下降
暴发性肝功能衰竭,热衰竭
包皮龟头炎,阴茎表浅性溃疡
包皮龟头炎,男性小腹痛
包皮龟头炎,龟头瘙痒
包皮龟头炎,身痛
包皮龟头炎,发热
半乳糖血症,腹痛
半乳糖血症,乳糖耐受不良
半乳糖血症,先天性乳糖不耐受
半乳糖血症,先天性乳糖酶缺乏
半乳糖血症,糖代谢紊乱
斑秃,化妆品的毛发损害
斑秃,体毛脱落
斑秃,斑秃
斑秃,全秃
斑秃,头发枯黄稀疏
柏-查综合征,脾肿大
柏-查综合征,静脉内持续性血流
柏-查综合征,肝肿大
柏-查综合征,腹痛
柏-查综合征,腹水
白血病性咽峡炎,骨髓象改变
白血病性咽峡炎,咽部溃疡
白血病性咽峡炎,容易发生青肿
白血病性咽峡炎,溃疡
白血病性咽峡炎,吞咽困难
白线疝,腹部肿块
白线疝,腹痛
白线疝,恶心与呕吐
白线疝,腹部中线处肿块
白细胞减少症和粒细,粒细胞减少
白细胞减少症和粒细,舌苔薄白
白细胞减少症和粒细,甲亢危象
白细胞减少症和粒细,食欲异常
白细胞减少症和粒细,疲劳
白塞病,溃疡
白塞病,咽炎、舌炎、龈炎
白塞病,口腔痛
白塞病,消瘦
白塞病,性感不快
Behcet病,口、眼、生殖器损害
Behcet病,疲劳
Behcet病,瘙痒
Behcet病,斑疹
Behcet病,眼痛
咽部硬结病,咽部肌肉运动障碍
咽部硬结病,咳嗽
咽部硬结病,咽部异物感
咽部硬结病,声音嘶哑
咽部硬结病,听力减退
咽白喉,扁桃体上有灰色膜
咽白喉,咽部溃疡
咽白喉,吸气时有蝉鸣音
咽白喉,白喉假膜形成
咽白喉,皮肤白喉
主动脉夹层,瘀血积聚
主动脉夹层,主动脉窦破裂
主动脉夹层,血胸
主动脉夹层,四肢血压脉搏不对称
主动脉夹层,内脏出血
原发性硬化性胆管炎,口酸
原发性硬化性胆管炎,腹痛
原发性硬化性胆管炎,黄疸
原发性硬化性胆管炎,恶心与呕吐
原发性硬化性胆管炎,食欲异常
鼻咽癌,带血性分泌物
鼻咽癌,带血性分泌物
鼻咽癌,回吸性涕血
鼻咽癌,鼻煽
鼻咽癌,耳内闭塞感
鼻咽血管纤维瘤,鼻塞排出脓性或血性分泌物
鼻咽血管纤维瘤,呼吸异常
鼻咽血管纤维瘤,头痛
鼻咽血管纤维瘤,咽部异物感
鼻咽血管纤维瘤,咽痛
鼻骨骨折,鼻中隔或鼻腔内软骨暴露
鼻骨骨折,鼻外部膨胀隆起
鼻骨骨折,鞍鼻
鼻骨骨折,呼吸异常
鼻骨骨折,鼻出血
鼻窦创伤,侧卧时位于下侧鼻腔出现鼻塞
鼻窦创伤,鼻裂
鼻窦创伤,带血粘脓鼻涕
鼻窦创伤,鼻端缺损
鼻窦创伤,鼻中隔穿孔
鼻腔异物,深侧鼻塞
鼻腔异物,鼻裂
鼻腔异物,带血粘脓鼻涕
鼻腔异物,鼻腔前部出血
鼻腔异物,呼吸异常
搏动性眼球突出症,眼球不能随意动
搏动性眼球突出症,眼痛
搏动性眼球突出症,眼球突出
搏动性眼球突出症,视力障碍
白内障,黄斑囊样水肿
白内障,眼球调节功能减退或消失
白内障,眼压升高
白内障,眼部烧伤感
白内障,视力障碍
玻璃体混浊,玻璃体经瞳孔向前房凸出
玻璃体混浊,眼前异常闪光，增加的黑点
玻璃体混浊,老年人非病变性眼前飞蚊
玻璃体混浊,非玻璃体的病变眼前飞蚊
玻璃体混浊,玻璃体有血迹
闭合性脑外伤,小脑出血
闭合性脑外伤,贫血
闭合性脑外伤,猝死
闭合性脑外伤,身痛
闭合性脑外伤,呼吸衰竭
闭经,闭经
闭经,头痛
闭经,恶心与呕吐
闭经,腹痛
闭经,脂肪过多
二尖瓣脱垂综合征,狭窄杂音
二尖瓣脱垂综合征,收缩早期喀喇音
二尖瓣脱垂综合征,肋膜腔积水
二尖瓣脱垂综合征,一过性心尖部收缩期杂音
二尖瓣脱垂综合征,收缩期杂音 
剥脱性皮炎型药疹,斑疹
剥脱性皮炎型药疹,发热
剥脱性皮炎型药疹,淋巴结肿大
剥脱性皮炎型药疹,皮肤落屑并导致表皮剥脱
剥脱性皮炎型药疹,药疹
边缘性龈炎,牙槽突型
边缘性龈炎,牙齿异常
边缘性龈炎,咽炎、舌炎、龈炎
边缘性龈炎,牙龈深红或暗红色
边缘性龈炎,牙龈上发生黑线
鼻前庭炎,溃疡
鼻前庭炎,鼻溢液
鼻前庭炎,鼻衄
鼻前庭炎,周身炎症反应
鼻前庭炎,鼻痒
鼻中隔血肿,鼻中隔穿孔
鼻中隔血肿,内脏出血
鼻中隔血肿,皮肤出血斑
鼻中隔血肿,带血粘脓鼻涕
鼻中隔血肿,瘀血积聚
鼻中隔穿孔,呼吸异常
鼻中隔穿孔,头痛
鼻中隔穿孔,鼻出血
鼻中隔穿孔,鼻中隔穿孔
鼻中隔穿孔,鼻粘膜溃疡
鼻出血,红鼻头
鼻出血,女性周期性鼻塞和鼻衄
鼻出血,脉速而无力
鼻出血,恶心与呕吐
鼻出血,呼吸异常
便秘,胃肠气胀
便秘,便血
便秘,大便习惯改变
便秘,大便干结呈算盘珠状
便秘,便秘伴剧烈腹痛
牛皮癣,关节疼痛
牛皮癣,囊肿
牛皮癣,瘙痒
牛皮癣,色素异常
牛皮癣,溃疡
臂丛神经损伤,手麻 
臂丛神经损伤,瘫痪
臂丛神经损伤,上肢呈迟缓性麻痹
臂丛神经损伤,臂丛神经受累
臂丛神经损伤,肘关节不能屈曲
巴贝虫病,脾肿大
巴贝虫病,发热
不动杆菌感染,咳痰
不动杆菌感染,咳嗽
不动杆菌感染,头痛
不动杆菌感染,发热
不动杆菌感染,昏迷
鼻疽,脾肿大
鼻疽,肝肿大
鼻疽,恶心与呕吐
鼻疽,溃疡
鼻疽,发热
布氏菌病,稽留流产
布氏菌病,关节疼痛
布氏菌病,身痛
布氏菌病,头痛
布氏菌病,疲劳
巴西紫热,伴皮膜粘膜出血
巴西紫热,气不摄血
巴西紫热,全身皮肤及粘膜呈现不同程度青紫色
巴西紫热,皮肤青紫色改变
巴西紫热,弥漫性出血
败血症,关节疼痛
败血症,脾肿大
败血症,肝肿大
败血症,昏迷
败血症,头痛
白蛉热,身痛
白蛉热,头痛
白蛉热,发热
白蛉热,腹痛
白蛉热,腹泻
播散性嗜酸粒细胞增,关节疼痛
播散性嗜酸粒细胞增,恶心与呕吐
播散性嗜酸粒细胞增,咳嗽
播散性嗜酸粒细胞增,腹泻
播散性嗜酸粒细胞增,丘疹
布氏杆菌性关节炎,关节液渗出
布氏杆菌性关节炎,膝内翻膝外翻或髋内翻
布氏杆菌性关节炎,关节肿痛
布氏杆菌性关节炎,非对称性关节痛
布氏杆菌性关节炎,关节间隙不规则和关节腔狭窄
闭塞性动脉硬化,下肢发凉
闭塞性动脉硬化,硬化
闭塞性动脉硬化,血管搏动或波形的改变
闭塞性动脉硬化,感觉障碍
闭塞性动脉硬化,黏膜损害
变应性皮肤结节性血,面部半球形蓝黑色结节
变应性皮肤结节性血,皮肤坏死
变应性皮肤结节性血,血管壁及周围有Ig及补体沉着
变应性皮肤结节性血,全身性血管损害
变应性皮肤结节性血,小血管纤维性坏死
节段性透明性血管炎,色素异常
节段性透明性血管炎,溃疡
节段性透明性血管炎,鳞屑
节段性透明性血管炎,结节
节段性透明性血管炎,丘疹
变异性红斑角化病,斑疹
变异性红斑角化病,掌趾皮肤黄色角化物
变异性红斑角化病,毛孔角化过度
变异性红斑角化病,手掌及足趾皮肤过度角化
变异性红斑角化病,皮损可呈角样突起
粪类圆线虫病,外斐氏试验阴性
粪类圆线虫病,肠淤滞
粪类圆线虫病,肠管变形
粪类圆线虫病,皮肤刺痛瘙痒并伴有荨麻疹
粪类圆线虫病,恶息、多泡味的白色粪便
唇裂,唇外翻
唇裂,口唇和甲床略带青紫
唇裂,口唇出血
唇裂,口唇渗液
唇裂,口唇皲裂
唇病,囊肿
唇病,溃疡
唇病,紫绀
唇病,巨唇
唇病,唇部发绀
春季卡他性结膜炎,上睑黄白色小点
春季卡他性结膜炎,眼内有异物感
春季卡他性结膜炎,眼睑肥厚
春季卡他性结膜炎,睑结膜的巨大乳头
春季卡他性结膜炎,春季斑
垂体危象与垂体卒中,垂体危象
垂体危象与垂体卒中,中枢神经抑制药诱发昏迷
垂体危象与垂体卒中,水中毒性昏迷
垂体危象与垂体卒中,镇静、麻醉剂所致昏迷
垂体危象与垂体卒中,低温性昏迷
创伤性肘关节炎,非对称性关节痛
创伤性肘关节炎,关节酸痛
创伤性肘关节炎,发热伴关节肿痛
创伤性肘关节炎,肘关节畸形
创伤性肘关节炎,关节疼痛
创伤性窒息,创伤
创伤性窒息,呼吸困难
创伤性窒息,血胸
创伤性窒息,气胸
创伤性窒息,胸痛
创伤性口炎,创伤
创伤性口炎,口炎
创伤性口炎,口臭
创伤性口炎,口涩
创伤性口炎,进食过硬的食物口腔损伤
创伤性鼻中隔穿孔,鼻中隔穿孔
创伤性鼻中隔穿孔,呼吸异常
创伤性鼻中隔穿孔,头痛
创伤性鼻中隔穿孔,鼻出血
创伤性鼻中隔穿孔,深侧鼻塞
创伤性鼻出血,出血倾向
创伤性鼻出血,创伤
创伤性鼻出血,深侧鼻塞
创伤性鼻出血,血液呈现浓缩
创伤性鼻出血,呼吸异常
肝豆状核变性,血清铜氧化酶吸光度降低
肝豆状核变性,先天性铜代谢障碍
肝豆状核变性,肌肉纤维震颤
肝豆状核变性,糖尿
肝豆状核变性,食欲异常
腹绞痛综合征,腹满
腹绞痛综合征,术后腹胀
腹绞痛综合征,腹痛
腹绞痛综合征,恶心与呕吐
腹绞痛综合征,腹泻
葡萄糖-6-磷酸脱,黄疸
葡萄糖-6-磷酸脱,脾肿大
葡萄糖-6-磷酸脱,肝肿大
葡萄糖-6-磷酸脱,腰背痛
葡萄糖-6-磷酸脱,身痛
消化道出血,出血倾向
消化道出血,头晕
消化道出血,心慌
消化道出血,冷汗
消化道出血,晕厥
喘息样支气管炎,咳嗽伴哮鸣音
喘息样支气管炎,气上沖心
喘息样支气管炎,猫喘音
喘息样支气管炎,老人剧烈咳嗽
喘息样支气管炎,鼻煽
传染性湿疹样皮炎,慢性湿疹样变
传染性湿疹样皮炎,阴部皮肤潮红
传染性湿疹样皮炎,皮肤瘙痒
传染性湿疹样皮炎,皮炎
传染性湿疹样皮炎,丹毒样外观
传染性单核细胞增多,溃疡
传染性单核细胞增多,发热
传染性单核细胞增多,淋巴结肿大
传染性单核细胞增多,黄疸
穿透性心脏外伤,主动脉窦破裂
穿透性心脏外伤,左腹屈曲
穿透性心脏外伤,突发的右侧心衰
穿透性心脏外伤,心脏僵硬
穿透性心脏外伤,心脏功能突然失代偿
穿腹膜疝,腹痛
穿腹膜疝,恶心与呕吐
抽动障碍,频繁性惊醒
抽动障碍,腹壁不自主轴动
尺桡骨干双骨折,前臂外伤后疼痛
尺桡骨干双骨折,发热
尺桡骨干双骨折,身痛
尺骨鹰嘴骨折,发热
尺骨鹰嘴骨折,身痛
成纤维性纤维瘤,身痛
成纤维性纤维瘤,发热
成软骨细胞瘤,身痛
成软骨细胞瘤,发热
成软骨细胞瘤,实脉
成软骨细胞瘤,儿童骨缺损
成人脐疝,先天性腹壁发育不全
成人脐疝,脐尿管残余
成人脐疝,婴幼儿脐部有肿物突出
成人脐疝,脐窝内有肉芽组织增生
成人脐疝,肚脐痒
成人多囊肾,肾性尿崩
成人多囊肾,身痛
成人多囊肾,血尿
成人多囊肾,慢性肾功能不全
肠系膜淋巴结结核,淋巴结疼痛
肠系膜淋巴结结核,淋巴结退化
肠系膜淋巴结结核,淋巴结充血
肠系膜淋巴结结核,局部淋巴结肿大
肠系膜淋巴结结核,结核杆菌血行播散
肠病性肢皮炎综合征,皮肤瘙痒
肠病性肢皮炎综合征,皮炎
肠病性肢皮炎综合征,皮肤有瘙痒抓痕
肠病性肢皮炎综合征,腹泻
肠病性肢皮炎综合征,毛发异常
产褥期乳腺炎,发热
产褥期乳腺炎,身痛
产褥期乳腺炎,输乳管阻塞
产褥期乳腺炎,瘀血斑
产褥期乳腺炎,胀痛
产褥感染,小头
产褥感染,产后自汗盗汗
产褥感染,产后发热
产褥感染,产褥感染
产褥感染,子宫压痛
侧脑室肿瘤,呼吸抑制
侧脑室肿瘤,脑脓肿
侧脑室肿瘤,恶心与呕吐
侧脑室肿瘤,高颅压综合征
侧脑室肿瘤,昏迷
藏毛囊肿,骶尾部窦道形成
藏毛囊肿,毛囊角栓
藏毛囊肿,囊肿样改变
藏毛囊肿,囊肿
藏毛囊肿,溃疡
残窦综合征,胃肠气胀
残窦综合征,恶心与呕吐
残窦综合征,消瘦
残窦综合征,呃逆
残窦综合征,腹痛
重叠综合征,关节疼痛
重叠综合征,消瘦
重叠综合征,感觉障碍
重叠综合征,黏膜损害
重叠综合征,疲劳
春季性结膜炎,双眼难以忍受的奇痒
春季性结膜炎,眼部烧伤感
春季性结膜炎,不断眨眼
春季性结膜炎,瞳孔中能见到白色反光
春季性结膜炎,结膜乳头增生
蚕蚀性角膜溃疡,眼结膜水肿及角膜溃疡
蚕蚀性角膜溃疡,眼球不能随意动
蚕蚀性角膜溃疡,溃疡
蚕蚀性角膜溃疡,眼痛
蚕蚀性角膜溃疡,发热
垂体瘤,脑神经麻痹
垂体瘤,尿崩
垂体瘤,食欲减退
垂体瘤,食欲异常
垂体瘤,垂体性闭经
心室内传导阻滞,心音异常
心室内传导阻滞,心脏震颤
心室内传导阻滞,心脏杂音
心室内传导阻滞,交替脉
心室内传导阻滞,心律失常
成人呼吸窘迫综合征,岔气
成人呼吸窘迫综合征,潮式呼吸
成人呼吸窘迫综合征,心源性呼吸窘迫
成人呼吸窘迫综合征,生命体征改变
成人呼吸窘迫综合征,高碳酸血症
萎缩性鼻炎,流鼻涕
萎缩性鼻炎,挖鼻孔
萎缩性鼻炎,鼻粘膜溃疡
萎缩性鼻炎,鼻端出火
萎缩性鼻炎,白渣样鼻涕
肠间脓肿,腹部肿块
肠间脓肿,腹痛
肠间脓肿,便血
肠间脓肿,腹泻
婴儿肠痉挛,腹痛
婴儿肠痉挛,全身骨骼肌痉挛
婴儿肠痉挛,哭泣样尖叫
婴儿肠痉挛,阵挛
婴儿肠痉挛,阵发性肠绞痛
急性出血性坏死性小,腹痛
急性出血性坏死性小,便血
急性出血性坏死性小,发热
急性出血性坏死性小,胃肠气胀
